RUN	ParabankParaSoftAccountScala	parabankparasoftaccountscala	1683101799709	test account with scala file	3.9.3
USER	ParabankParaSoftAccountScala	START	1683101802206
REQUEST		LoginRequest	1683101802194	1683101803437	OK	 
REQUEST		LoginRequest Redirect 1	1683101803451	1683101804415	OK	 
REQUEST		template.css	1683101804473	1683101804678	OK	 
REQUEST		style.css	1683101804474	1683101804863	OK	 
REQUEST		logo.gif	1683101804475	1683101804882	OK	 
REQUEST		clear.gif	1683101804475	1683101804887	OK	 
REQUEST		request_2	1683101804865	1683101804965	OK	 
REQUEST		request_5	1683101804887	1683101804981	OK	 
REQUEST		header-customer.jpg	1683101804475	1683101805043	OK	 
REQUEST		request_6	1683101804965	1683101805062	OK	 
REQUEST		request_7	1683101804981	1683101805087	OK	 
REQUEST		request_1	1683101804696	1683101805117	OK	 
REQUEST		request_8	1683101805044	1683101805155	OK	 
REQUEST		angular.min.js	1683101804474	1683101805179	OK	 
REQUEST		request_10	1683101805087	1683101805195	OK	 
REQUEST		request_11	1683101805118	1683101805221	OK	 
REQUEST		request_12	1683101805156	1683101805258	OK	 
REQUEST		request_14	1683101805196	1683101805291	OK	 
REQUEST		request_16	1683101805222	1683101805324	OK	 
REQUEST		request_17	1683101805258	1683101805354	OK	 
REQUEST		request_18	1683101805292	1683101805396	OK	 
REQUEST		request_4	1683101804885	1683101805786	OK	 
REQUEST		request_9	1683101805062	1683101805946	OK	 
REQUEST		request_13	1683101805179	1683101806005	OK	 
REQUEST		GetAccount	1683101805325	1683101806301	OK	 
REQUEST		request_20	1683101812306	1683101812403	OK	 
REQUEST		request_21	1683101850408	1683101850787	OK	 
REQUEST		request_38	1683101850795	1683101850905	OK	 
REQUEST		CreateRequest	1683101850796	1683101851744	OK	 
REQUEST		request_42	1683101864748	1683101865134	OK	 
USER	ParabankParaSoftAccountScala	END	1683101865138
